text,label,notes
Our best player low-key,hot_take,
Can we just have more of Zlatan insulting Lalas,reaction,
LeBron is the Goat of basketball it would be a better analogy given both are still active breaking pretty much every record,hot_take,
"While I agree, the team as a whole was diabolical.",hot_take,
Did we miss a memo saying the European favorites would be trolling a bit in their first match?,reaction,
We can literally access the pass maps after the game. This just sounds like a player being bitter that they’ve gotten found out to be a side pass merchant.,analysis,
It's a 0-0 win for Cape Verde,reaction,
Ecuador recorded 15 shots straight at the keeper,reaction,
"That applies to a huge chunk of this sub who can’t even kick a ball, or never played even at a sunday league or club. Who belive they are pros and think certain actions are a piece of cake of they would have done better over pros.",hot_take,
"He’s definitely one of the greatest players ever but nobody to compare? He’s not so far beyond Pelé, Maradona, Maldini, Shomurodov etc. that it’s impossible",hot_take,
"Shoutout to cabo verde, it was defensive masterclass from them",reaction,
This is especially true during international tournaments when large swaths of fans who don’t even watch football tune in and inevitably start expressing their dissatisfaction with certain players in their national teams.,hot_take,
Gudjohnsen was such a baller for both Chelsea and a great utility player for barça a very adaptable player,hot_take,
I’ve never seen nobody posting this type of statements when it’s made about Ronaldo this sub is bias?,hot_take,
World Cup of legendary keeper performances,reaction,
This World Cup might give the European and South American nations a run for their money,hot_take,
Fuck me i feel old. Eidur was one of the best players I've seen in the flesh. He absolutely obliterated us (northern Ireland) in a game years ago and he was honestly so good,reaction,
Might be closer to Gretzky in that nobody else is even close. Lebron is closer to Jordan’s level than anyone is to Messi’s.,analysis,
"Finally, We did it 😁",reaction,
"Tbf, I also fall for it when he plays for Barca. I feel that midfielder are really difficult to tell when they’re having a good match when they aren’t doing Messi/De Bruyne level passes.",analysis,
"It sucks but depth wise Germany has a lot of decent options at CB, what will hurt the most is what Schlotterbeck can offer offensively.",analysis,
That's the Wilton Pereira Sampaio effect gentlemen,reaction,
"We were shit today. That's the one decent half chance we created the whole game. Today is not on Ronaldo. It's cool and trendy to hate on him but today every Portuguese football player was asleep. Slow on the ball. No movement off it. Lethargic in defense. We lacked any sort of competitive edge. We had no urgency for anything. Players were isolated when in possession, especially on the right side, until Conceição came on. Pedro Neto refused to take anyone on, kept passing back, Nuno Mendes looked like he couldn't care less, Bruno and Vitinha were doing little one twos with no one around them. Just embarrassing.",analysis,
Spain didn't play well? Yes.,hot_take,
Feel the need to say. Belgium have been a disgrace the last 10 years. Golden generation and can’t do anything. Now can’t even get a win against average teams this World Cup. Hope they go out in groups,hot_take,
"Kinda amusing to me that people are this surprised over how good he still is. His playing style makes it so that, he can play more or less without any movement, meaning his legs could be more or less gone and he would still be a passing-god",analysis,
2.48 xGoT prevented per FotMob. GOATED performance by Room,analysis,
That's my former MLS DPOY STEVEN MOREIRA,reaction,
"I’d say it was one chance. For all we know, Ronaldo didn’t expect Bruno to be right behind him",analysis,
Yeah no one is topping this lol,reaction,
So happy for them! Well deserved تحيا مصر,reaction,
I think Messi’s has a better career and achievements than Ronaldo but there were definitely multiple years over the last 20 that he edged Messi. To say he was undisputed over last 20 years is kinda bias.,analysis,
De La Fuente is a criminal.,hot_take,
Few people ever play organized soccer. Very few have ever played at a competitive level. It's a totally different game. Just sit back and enjoy and let the pros do their think. Trust me they know what they are doing.,hot_take,
Historically accurate. As Leif Ericson explored the new world,reaction,
Frankie does not play through balls,hot_take,
I wonder if certain man on this forum will realise he's talking about them....,reaction,
After Messi yesterday there was never a chance in hell Ronaldo would be even the slightest bit unselfish,hot_take,
We really expanded the field so that we could watch small nations sit back and defend?,hot_take,
At least we made it out of groups this time. Slow and steady rising...,reaction,
"Calling the World Cup ""finals"" is so weird",reaction,
Man I hate the expansion of the World Cup to 48 teams. Having countries like Spain really dilutes the quality of the football.,hot_take,
"I got to be a mascot for Barcelona when they played a friendly in the US around that time. Gudjohnsen was the player that I got paired up with and he was kind enough to sign my jersey in the tunnel. I'm pretty sure he scored that game, too.",reaction,
Ronaldo can be dogshit a lot of the time but the team was just awful. Singling him out when the midfield was beyond clueless is strange.,analysis,
"Best Player for us so far, and now we will have to start Rüdiger which means every duel is a coin flop between world class and UFC fight",hot_take,
This is what makes the World Cup so amazing,reaction,
Lukaku played like a pensioner,hot_take,
We really could have been the only team to go a century without a world cup win.,reaction,
If he was the Michael Jordan of football there would be someone to compare him with… but I digress,hot_take,
Waiting for Instagram followers post tomorrow,reaction,
Getting mad at a striker for calling for it in the box when the team is just trying to pass sideways and backwards otherwise is pretty silly,analysis,
I love the Shamrock Rovers Linkedin story. Absolutely glorious.,reaction,
"That's a huge praise to MJ, the NBA has a much disputed GOAT conversation.",hot_take,
